lat,lon,panoid,year,month
53.338197,-6.253698,CbN5N7Qj3Ncz4wL6Ou4riQ,2014,5
53.338232,-6.254826,YLYszFtXWse-RTl_FqoOhA,2014,6
53.338238,-6.253982,ePoPZSLzWzd6zAq7T3WQUA,2010,9
53.338240,-6.253970,A4TI4HvZSF7v86F-7_qRiA,2014,6
53.338240,-6.253500,AxlNCNc-QeXNmWcxNlPEjA,2014,5
53.338241,-6.253970,nt4du3-PRB9vuYu9mQPT6A,2017,7
53.338251,-6.253471,mOPVkRaSYe5xV9tpnlPqcQ,2010,10
53.338251,-6.253427,jVcPuY8UzXeL1FmE_kgQxQ,2017,4
53.338253,-6.253464,v8xK_VfwRby6jS88PLVBzg,2017,7
53.338259,-6.254008,K8v_wNfOvPSdk3s7w0Vc6A,2012,8
53.338263,-6.254098,KuEKyJ-3nkUOUgLHr9MIoA,2014,5
53.338264,-6.253472,DlChbdZBiU650fOC_8iWrw,2014,6
53.338267,-6.253408,8Et7ivlyRCak_N_OHHPGxA,2014,10
53.338271,-6.254090,S0awaQ4Kp3JWhbfFXNp9lw,2010,9
53.338272,-6.255649,i0ac4BKBVq6pD-ZAQQPkUA,2010,10
53.338272,-6.254056,jQ2Kr9bCOBPAx2UD5pTsAg,2017,4
53.338274,-6.255874,erAvnB7L_XzMQMfxwVF-zg,2015,9
53.338277,-6.255652,OxGtU2JNxBXZH6Jc7kIdZg,2010,9
53.338280,-6.254114,PbUnAAvMhjTNn7uIPLbzMg,2017,7
53.338280,-6.254086,TBxaQwTHaDdVYBLfGSkiiQ,2012,8
53.338283,-6.255717,0VWZIcMh8LomZuGQHxHqrg,2017,7
53.338283,-6.254076,ZC7YgfroXouoRhiE2jSzaw,2009,6
53.338284,-6.255837,4tmZvKNBSmhkX8JlULdqew,2010,10
53.338287,-6.255693,wfQxXCif8185ffG8mjgjPA,2014,6
53.338298,-6.255857,C2ODeEd6DSXWoCn182Stlg,2015,9
53.338302,-6.254141,3cT2tp5fR4TXCrsyE-9rlQ,2014,6
53.338309,-6.254209,Dny4wLpTJD64cUdEHwmDog,2010,9
53.338313,-6.254224,qH7A-UGBSNYapi8jPyLevw,2017,4
53.338316,-6.254766,12vXV4DDyKN9uFn-Z-dU2g,2014,6
53.338317,-6.254245,Lpg9tPg5Ys7n6MLDXF0yJw,2017,7
53.338317,-6.254208,JBp17rQBSwAHRqQPFAZu1g,2009,6
53.338319,-6.254230,6KgFt_RgDxBsNJpQOaS17A,2012,8
53.338321,-6.254219,9FfyDuSOybx4WXJQHVSQdA,2014,6
53.338322,-6.255838,66XTkIOyCYIRC4CIDiWx8Q,2015,9
53.338326,-6.254210,dT95l6QoRL43qkB4stRM5g,2014,5
53.338331,-6.254286,eMYX_oVIqZRfIv2F7pMGTA,2010,9
53.338333,-6.254296,icbfSksmaohS8SYBiWVO0g,2017,4
53.338336,-6.254314,tLbXhLGYmq53VL8qz3C71w,2017,7
53.338337,-6.253400,sQj5drgZ80hrmS5cqXuVkg,2014,6
53.338338,-6.254305,93b1WcXjigRdIQkd8vvroQ,2012,8
53.338340,-6.254284,7a6As0Bn5XzRzp6WPjFdTA,2009,6
53.338341,-6.254250,YrWU5fgR5ixTbxkEoHRe7g,2014,6
53.338342,-6.253377,UnuOOn3bLzVkqbJfFcITGA,2010,10
53.338345,-6.255890,2Qtt8TM-Da5FnBGr9hZv9g,2010,10
53.338345,-6.253378,T7oQ_DPLOcRiy33bU2j1kw,2017,7
53.338348,-6.255815,A--HJ_gW9w--eoWUHY-L7w,2015,9
53.338349,-6.253337,e01gc6zkibWdBc-E8pC-ZQ,2009,6
53.338350,-6.255661,U8lWSDwX4b19mDJrzWiRxQ,2014,5
53.338350,-6.253330,Um_kXIhSZKfpA0-2sM1U7w,2014,5
53.338350,-6.255623,egE7EJYitl5TGqIYcMrgsQ,2010,9
53.338351,-6.256116,Ca94iLUvaW175KqYUVJhfQ,2017,10
53.338355,-6.255584,aENj5-SxAWuZnlSr7dtlhQ,2012,8
53.338359,-6.255582,nZxoa6FACfuNzgzs6wfMMA,2009,6
53.338360,-6.255620,ilTBprThCT_aqbIXGy0tNQ,2010,10
53.338364,-6.255648,n-yXHK94Bnkjv9m5pA2pXw,2014,6
53.338366,-6.255657,ZvNDSWHmrhbKpfmpv1qUvA,2017,7
53.338368,-6.255527,C5oOW9wcDgkcXgFlkPZqjg,2017,4
53.338374,-6.254460,3NOVQZkSOLZptK_j-05OpA,2010,9
53.338374,-6.254452,482N6hyaGE-vMbCtkxBHqQ,2017,4
53.338374,-6.255796,ctz9z7xyDOA6eoXHvocqEg,2015,9
53.338374,-6.255530,zObtok6AqeKJ33VxN9RUBQ,2017,7
53.338374,-6.255524,L3jD6-ixNEegBxOXVh1x-w,2014,6
53.338375,-6.254451,mHZ4Ph7jBQO7bSS_C7D3Ig,2017,7
53.338377,-6.254469,IaGaFtyLW3RMW259LEcDdw,2012,8
53.338380,-6.254436,aP2ZI8jUEoOlk-3PKCGxcA,2009,6
53.338381,-6.256135,qzmUYN9-1nt-yHAlN2Nz9g,2017,10
53.338383,-6.256364,QaY-GILw63BKfRrcevGnsQ,2017,10
53.338385,-6.254453,uN5phzmVahWd77NBiFOK5w,2014,6
53.338385,-6.256320,BL-tT3AcGCAnvzLZm6YAKQ,2017,10
53.338389,-6.255628,JUNbx28GqE5688lGsSOkyA,2014,5
53.338389,-6.255643,x43dsgCi1mYBpW36lbuk6Q,2017,4
53.338398,-6.254705,_8gt3WDg38Phd5OznJ1A_g,2014,6
53.338398,-6.255573,SuVjgdlvjlFn4xjsl0OPNg,2009,6
53.338399,-6.254629,l_kHLoMXqCCMXq8Ct1NQ-Q,2017,4
53.338401,-6.255778,Ymq_8HmeQJ9RsSZ9fATFlQ,2015,9
53.338401,-6.255582,8CeoBulmAYmqH2KtzPZJTQ,2012,8
53.338401,-6.255634,Z09yP_BWVlEDXg886zCWUA,2014,6
53.338405,-6.255615,aTfISAOp1a--FGkqOb6PvA,2010,10
53.338405,-6.254588,YBr_US1czFgAzPoXFxSFUQ,2010,9
53.338406,-6.255961,BCMnYU-AemjeKYHZRpxTsQ,2010,10
53.338407,-6.256168,VgBoVyXvL73D1rwxZBHrpA,2017,10
53.338409,-6.255637,0ewWfTmRUU1sG_A26d9iCw,2017,7
53.338410,-6.254660,UxsAen6gIsEd0V1OX_Q6uQ,2014,5
53.338410,-6.254575,-j5H8wDImG2DQYS4zZwr0A,2017,7
53.338411,-6.255545,tg3Ci1mPBd6CzJvlf0TA8g,2014,5
53.338411,-6.254572,jQkFRmW3Hj4OPV5agFI-fg,2009,6
53.338412,-6.256269,RNYqkZzy63_6dwZW_kv2_g,2017,10
53.338413,-6.254621,_7YP6ISGnXctmHbw9O3Knw,2012,8
53.338418,-6.254580,go3l991WUTOF4_aKznFS6w,2014,5
53.338420,-6.253321,Izq_T_nLOEZI2B9ivYUxTg,2014,6
53.338422,-6.256194,g7Ckr28j0SJ3GsQq1Deg9A,2017,10
53.338422,-6.255612,x15nXVrAC4tYVTkZwNrRzw,2010,9
53.338426,-6.254635,GWjayCId56NtRLHCfQh6UQ,2017,7
53.338426,-6.255773,GXu53KwbzS2BnPvG2EWk6A,2015,9
53.338426,-6.254676,i0fqOJ6AfSDSxX7pEh2c2g,2010,9
53.338428,-6.253307,6UIutDIxSURchVoYP_CCOA,2014,5
53.338431,-6.256258,idAi8FQCZ0MB10Szz1nbfA,2017,10
53.338432,-6.254695,3uyadYx9xKNOi2qe-n6RMA,2012,8
53.338432,-6.253298,1jzf-cNlWrEYV3eFGdSXVA,2017,4
53.338433,-6.254643,Yv3wNN6gV8wnCXuOpCw_aw,2009,6
53.338434,-6.256226,r8T1uQgp7qHXkzfXyvoF-g,2017,10
53.338439,-6.256565,GSsf9R2WqG71PfIIQjasQQ,2017,10
53.338442,-6.255484,G9URCyA2F-h9iHqpCkAKjw,2014,5
53.338445,-6.253284,r0wTlJgPoS_yzxTEFzk5JQ,2017,7
53.338445,-6.253256,Uya6Z4nlp-p-AZdMUhthjA,2009,6
53.338450,-6.255773,qvbmul9SA1KWtUpomxitXA,2015,9
53.338452,-6.255469,uCh_N9whQXB82fOlxZ43kA,2017,7
53.338453,-6.255466,NuaR9naaCyJJBrvhcFlWUQ,2017,4
53.338456,-6.253272,GaNdVqjuw9x5db3nwACIZw,2010,10
53.338458,-6.255468,2WhmgTMvWHVWzZYQztuxkw,2014,6
53.338464,-6.254875,MKxvXkpXNAudnq93kgC_Ug,2014,5
53.338464,-6.253220,PPfhBS_qnIk8ufWCUJAySw,2014,10
53.338465,-6.254822,v5a11zbg312VkV-3EYatTQ,2017,4
53.338467,-6.254844,LKnFLODXlSSPpmzTSN1h4w,2010,9
53.338470,-6.255780,XYV32XRsubrHFOw9Y_MEPA,2015,9
53.338470,-6.253222,sM4294KFMxH793akk1nFkA,2017,4
53.338471,-6.254849,VTf0Rkx4nv0e1LABR5a_qQ,2012,8
53.338472,-6.256600,xZ200nb0Qx4ZTiEO3a9Fhg,2017,10
53.338472,-6.256585,ctbmXzVWe7AlHb93m7IJSQ,2010,10
53.338474,-6.253256,VyajiDyTGw-xhVFHCGJXtg,2010,10
53.338475,-6.254819,hbS_PYNi5xYS5YgvNpBjjQ,2017,7
53.338480,-6.256577,OQOGILt75wl6KykqkFWvqA,2015,10
53.338482,-6.253249,lcA3-A22hBp_7-yPOo57RQ,2017,7
53.338482,-6.253224,Hk4XMzeYFpswc_xFKlqoAw,2009,6
53.338483,-6.254842,ymx84JSBzDeWUqg3MG7vkA,2009,6
53.338484,-6.255976,SYuLUt-DAHVKxgGQIaGPHw,2010,10
53.338488,-6.255790,QIc2Lm0mDhlaXHITbmeQmg,2015,9
53.338490,-6.256617,Q-EbY5UNKy6WVQCw_MBoYg,2017,10
53.338494,-6.254936,g-gO16iIR65xpBqax0RT0w,2012,8
53.338494,-6.254926,rn27R-o-0qrHQBDStmg5Hw,2014,6
53.338494,-6.254955,bTh89xTQaMdq_CQVhzN43A,2010,9
53.338497,-6.254947,7U2BOnhElcRbm-3nb3qfLw,2017,4
53.338501,-6.255639,KZcr4OEg6pmDUZj_WRVRFw,2010,10
53.338501,-6.255650,xZdWinPsq2hgJn85y1780A,2017,4
53.338506,-6.256636,YwZM3nugEemHzMS7wIaaLQ,2017,10
53.338506,-6.255804,Nba1S4hc1UJ3s3XBOdgibA,2015,9
53.338508,-6.254952,G3BxGUqwpeB_q45QCYir9Q,2017,7
53.338515,-6.254948,Boe4A5JD_jHUD7Et7ylGOA,2009,6
53.338516,-6.255609,e85WlM45MjVIc4Gi3aNBRA,2009,6
53.338521,-6.255823,viI9_wLZ_P-OeYSq1aO1fA,2015,9
53.338522,-6.255646,1eoR9nFpbxcui8asLj8Jzw,2010,9
53.338522,-6.256655,pSGEKtMyy8gVaZCBG9OMTA,2017,10
53.338524,-6.255657,kBoe5QmGfWUbs0H1Vc-QHQ,2014,6
53.338530,-6.256656,CQiya8IBm50VKtNim_cBRA,2010,10
53.338531,-6.255075,PMa1-ikrl5bvh9KKOCHT8w,2017,4
53.338533,-6.255656,BOusmShuGpVr2lhojr5mWQ,2017,7
53.338535,-6.255846,wUHaLMMMgkevJXjtXZINXw,2015,9
53.338536,-6.255116,lsZ3P9giXeDZIWVRN3rNIQ,2010,9
53.338538,-6.255401,X0iGZS6cj4hbuS8YFIDtaw,2014,6
53.338539,-6.256676,TWRuZEoraXDeWnbUTdyk4w,2017,10
53.338539,-6.253150,67Csbjsrre9Vo47l70eZUA,2014,10
53.338542,-6.253194,YUWW4JNZurAP0oQe64OS9A,2010,10
53.338542,-6.255652,0PV6m4AoTi8WOKZ87CtSnw,2014,5
53.338544,-6.256656,25EWZRS6xA4QrDKtKfoVRg,2015,10
53.338544,-6.255351,qhZ89ozL7FPPesqzpX85Zg,2017,4
53.338546,-6.255871,CgtTaWq21MjLhVOSFO5n_w,2015,9
53.338547,-6.255382,qQmO7fSWX_YaPlYNxp88qw,2017,7
53.338547,-6.253167,1oRhlZfATQn_8Z-iVhiIqA,2009,6
53.338549,-6.255105,GG3R-sd-8fG3MNs6Sijrbg,2009,6
53.338550,-6.255125,2q5KaSF1Egi3X0wE8yhVZQ,2017,7
53.338551,-6.257075,jkva1uvMo2Ym8akVM-D2-A,2017,10
53.338552,-6.255154,DXLdfzxRcKnd9golCVas2Q,2012,8
53.338554,-6.255181,VmR6tBGKv61h84n5kIvuPQ,2014,6
53.338555,-6.253176,3gBr23u7_ZxS-LRGhj47xA,2017,7
53.338556,-6.256699,mfdOhYx4qx8QjQPKgHmo0g,2017,10
53.338560,-6.255204,kAH1bPuubtSr-C9fhL76eA,2010,9
53.338561,-6.255166,0LW08STRncj8yuwqfdXHww,2014,5
53.338563,-6.255927,BIHrDbSuxEuAThbF7j4bEg,2015,9
53.338563,-6.255217,yWVKm450CqvflhP9h_pD4w,2017,4
53.338564,-6.253169,CYsYM1R0oihaujJFzxFSbA,2017,4
53.338565,-6.255294,FAb__nCR3OJBBEWFYDAzZw,2017,4
53.338566,-6.255378,BAV4tEMww9IAzv7tkSyqpA,2017,4
53.338566,-6.257107,2NkfCQj9wrsKm2RljnLv4w,2017,10
53.338567,-6.255213,yQJnrOqHn3uvv90TeBjNJA,2017,7
53.338570,-6.255221,iYCgo6_9rVrcJm3ZE9nGHA,2012,8
53.338572,-6.256723,-I8ekWgWv9qU_2TqEwRmww,2017,10
53.338572,-6.255301,KXPe7wetN2Pc11r8aMmECw,2017,7
53.338575,-6.255672,GyyLEyj6b15r1v1nmDntCQ,2012,8
53.338577,-6.257141,A8BUCAxtm4ycF05aEh1kUw,2017,10
53.338577,-6.255705,oN5FPFV8yzDmNPa7fIIMKQ,2010,9
53.338577,-6.255209,5-O7YJxxhf6a4HqctTnIaw,2009,6
53.338578,-6.255976,DoQIdZFB0Z3RGpw6zjQK0w,2015,9
53.338582,-6.255695,q_Is3n0BsSi84lxEamkbTA,2014,5
53.338583,-6.255718,E6fS77sk7DlP9WL5v3J9jQ,2017,4
53.338584,-6.257149,9QbsuU8mvtxiIAMUe_8y8Q,2010,10
53.338584,-6.255296,UHq3o-b8EHU_ngjczKXUgw,2010,9
53.338587,-6.257174,k8XKBOibjdyPjflxdLAh9w,2017,10
53.338588,-6.256749,yXYt55BTOTgw2JamFxcCBg,2017,10
53.338589,-6.255327,K75JmwdZPvj6JNnHQ43Kzw,2014,6
53.338590,-6.256013,7i8Jm-TqoWTOY1KlYAaV8w,2015,9
53.338590,-6.255294,EgE70MdJctv7FK7XH1jx-g,2012,8
53.338595,-6.257207,H-NHAfoCpd2cfOom29Pf_w,2017,10
53.338596,-6.255339,vo1YL_A_mikU-mPI3Y3NsQ,2010,9
53.338599,-6.256040,nRGu_vmnk2yZLlgZyu_HmQ,2015,9
53.338599,-6.255736,NesRFrt8Z1qB0IJSA-Sf7w,2014,6
53.338601,-6.255740,xYe6dezg95s2l6JC0zGYXg,2017,7
53.338603,-6.256774,__wqFqyOlMbIKqLCxGai1Q,2017,10
53.338606,-6.255312,pnuo3g7VtmyBkz9kDe5IFw,2009,6
53.338606,-6.257282,o_JfZIJjFIgCZGNRWPdY6A,2015,10
53.338608,-6.253117,543q7pj_VW7XJj8A-PkY2w,2017,4
53.338608,-6.253088,C5Ezv9Urzqv_4KjzsfmrUw,2014,10
53.338611,-6.255722,mlPGgNWrXF1oLL24I92wIQ,2012,8
53.338611,-6.256083,cgFZOFAE7jFh6RlN3rQibQ,2015,9
53.338617,-6.256801,sPPmIeQV9xeHsU1DJe1d7Q,2017,10
53.338619,-6.255772,nu_uSsNXRbkK5xU2cs5JTg,2017,4
53.338619,-6.256038,3kcGZsI_BgCBEETyCihZ7A,2010,10
53.338621,-6.256120,ZF6amDufNqHAobl7g6q9iA,2015,9
53.338621,-6.253111,87Q21U4eefISMjX0Fbk7Cg,2009,6
53.338621,-6.253071,HRL2GIRPtDpJpkYRoczCOA,2014,5
53.338622,-6.255799,bg2rVe_ruVdGnPNxMEOXXQ,2010,10
53.338623,-6.255786,d4NLHgZKjuk9oG8Q_Y8ARw,2010,9
53.338623,-6.257262,rpHQrDE-7tGSalyMSxrLCg,2010,10
53.338625,-6.257297,5ZhIqtUcRGLqLoTUEtSZDw,2017,10
53.338626,-6.253116,Ml045MEY3mBwYiR0afVJ5A,2010,10
53.338626,-6.255505,I1vXJnTVIsuya-vKKe35zg,2014,5
53.338626,-6.255477,8CXY-JXoZmei6bEYX1b0xA,2017,4
53.338627,-6.255805,k_t2CIt-AORc-tujplKy1A,2017,7
53.338629,-6.253100,KQv5D9UQotluuQqr5t7saA,2017,7
53.338630,-6.256157,HD-jxk_3zpuouiT1ndBddA,2015,9
53.338633,-6.256826,CaAHeHfXTnFbsfb-DJGTXw,2017,10
53.338633,-6.255449,KkjbTAorOXkjYz4CV3uZug,2012,8
53.338633,-6.255796,3XvdWRPOGruvuT6glO-mYg,2014,6
53.338634,-6.255860,-HZk3qatznOMmxszo7prXA,2009,6
53.338634,-6.255739,YBIed4RRC28Hj2VJ6RcR7g,2009,6
53.338635,-6.257330,178D4s25Tg-stdxsuJFG2w,2017,10
53.338638,-6.255491,oXUi9mR-zVkvdw7KDhKkYA,2010,9
53.338640,-6.256196,MDeu49PcqzsnrQJzBOHEQA,2015,9
53.338641,-6.257388,QoX83DkUyghFrTRgp-hoXw,2015,10
53.338641,-6.255783,H2E2lKa4kSSqSFJ9xfxKYA,2012,8
53.338643,-6.256828,iuc24RWtEkKHRhw3whia5g,2010,10
53.338644,-6.253055,LQqo2m2qN339rZsI-k8pVg,2014,10
53.338646,-6.257364,zCOgQJlRQ5RuxdSd-pMRNg,2017,10
53.338647,-6.253078,NJqHAHjP_rj5XtiUCRZvIA,2009,6
53.338647,-6.256854,UQo7ameOOnrn3PNtb_8S_g,2017,10
53.338649,-6.256232,c0HwACK9bKuKh_THzRAGVA,2015,9
53.338649,-6.253048,ZZ62QHyk8Ft5vJNTPoIV6g,2017,4
53.338649,-6.255470,7I8CB7n1U1DefuHDzWpbtA,2009,6
53.338651,-6.255567,HN2wEk2c-4iuGkIBTXLp8Q,2017,4
53.338655,-6.256150,LIV-IJZLuj9xgUrPniz85g,2010,10
53.338655,-6.255580,5kerMxkeudaCPMhyehGE2w,2014,6
53.338657,-6.257398,OaGBEn0eWzcPGXUTOEPq8w,2017,10
53.338657,-6.256268,rbVC9mTrwisyDb04xrK_jw,2015,9
53.338658,-6.255889,B0tjbC0agJ81gKVc3kjGHw,2017,4
53.338658,-6.257378,Ds8NnfPhOFOOPYQ4UUFLMg,2010,10
53.338658,-6.255901,iEpOJK02c2q0YWV7Ccb3JQ,2010,10
53.338659,-6.255575,d38NmkCt3TzrnS2wJZ29Ug,2010,9
53.338659,-6.253084,mewAVmdZ0QFCIBnNH742ZQ,2010,10
53.338660,-6.255951,Lu5Ym5fgq7kG4uTR32o6ig,2009,6
53.338662,-6.256882,oUuAolTENbryeUNjH4fJPw,2017,10
53.338662,-6.255888,GKkUAP5BmvVh329q6on_Lw,2010,9
53.338665,-6.253030,p4OLcQ8y4mkEQTsLv31nsA,2014,5
53.338667,-6.253061,dUkTGb8u12kCS2Rrcx2B6g,2017,7
53.338668,-6.256304,imb3IZJx-s5-Z-TWuTEehQ,2015,9
53.338668,-6.251955,sfskGZqObYP_OJLyo4dGfw,2014,6
53.338669,-6.255950,nqhzhL07aS3UD6kRIdmLQQ,2017,7
53.338673,-6.255595,dvMIpXOCoC4GHBQZ5oKOBw,2012,8
53.338675,-6.257504,Me7kPc3Cbjm04sN8_oPpyA,2015,10
53.338676,-6.255919,CwAGZYaJShi_YOqUeFg93w,2014,5
53.338677,-6.256911,de4cCJdodNM2lFp_pAH5LA,2017,10
53.338678,-6.257472,j5P2JFcYs0z0KxcXtxP7Kw,2017,10
53.338678,-6.255579,CD64zOckk8BINA8h3Hs4Qw,2009,6
53.338679,-6.256341,SgPL6JEfPiJILMqR7Ud9-A,2015,9
53.338683,-6.255928,ozYbAmHVDqYH3An100J8xw,2014,6
53.338686,-6.257486,w0I-jNmUYpoeOHBWJ2iN6g,2010,10
53.338688,-6.256375,Uwoi78SiotXYwErmPTvlyw,2015,9
53.338688,-6.256271,-Wx__LQ_ndJEcyi2IuGgpg,2010,10
53.338689,-6.256053,lPOAxsBxuF6JHVjTL91nqg,2009,6
53.338691,-6.257095,w1H4Yqifwn7k8vVi9VQyyg,2010,10
53.338691,-6.255734,gv0MUAwP-K8bHt0ua8kTAQ,2010,9
53.338691,-6.256973,7OErt9RKTtr2NR9YEDaLSQ,2017,10
53.338694,-6.255936,BYHvRgPqsKp6raoFSYMivQ,2012,8
53.338697,-6.255738,-2l8CMm7FCwHQRz7xOIbwA,2017,4
53.338697,-6.257556,mFdznIURdrQjY6hc6vkXiw,2017,10
53.338698,-6.256939,NtLRFoL2RSDeC6VkUvWg8w,2010,10
53.338699,-6.256412,lHloyYCClbeapPIsnIcgqQ,2015,9
53.338699,-6.256945,Gq5UlsyXxqRrivRkbu66GA,2017,10
53.338700,-6.255789,GzGRLLB-mlNBDGQuzts46A,2014,5
53.338703,-6.256041,CgwGDv1WrRNwjk8_bEy_vQ,2017,4
53.338703,-6.252060,aQIOu2fpvOLFMQfxqNwsKw,2017,4
53.338704,-6.256057,zk8_a4TJrDA6EkPma_dTkw,2010,10
53.338705,-6.252083,zzMlEq5OK5Ol-mNnYhqdqg,2009,6
53.338705,-6.257004,YZ1w8x5EqaXm_M74BKIyXw,2017,10
